"RENT","OMB13CBSA","CB","COSTBURDEN","HHPOC","MHINCP","HHGRAD","HHSPAN_new","HHMAR_NEW","HHRACEALL","HHSEX_NEW","HHAGE","HINCP","UTILAMT","HHIMMIGRANT","HSHLDTYPE","RATINGHS","RATINGNH","HUDSUB","BLD","LOTSIZE","UPKEEP","ADEQUACY","NUMPEOPLE","TOTROOMS","CROWD","UNIT_SIZE_NEW","RENTSUB_NEW","FS","RENTCNTRL","NHQSCHOOL","NHQPCRIME","NHQSCRIME","NEARBARCL","NEARABAND","WEIGHT"
3700,5,0.4776,1,0,8333.33333333333,11,0,1,"2",0,53,100000,280,0,1,8,8,3,2,3,1,1,2,7,0.285714285714286,7,0,0,0,1,0,0,0,0,253.84916943
430,5,0.0735785953177258,0,0,7475,15,0,0,"2",1,24,89700,120,0,7,8,8,3,2,3,1,1,2,4,0.5,3,0,0,0,1,0,0,0,0,243.21717499
790,5,0.298378378378378,0,0,3083.33333333333,10,0,1,"2",1,78,37000,130,0,1,7,5,3,6,1,1,1,2,4,0.5,3,1,0,0,1,0,0,0,0,222.80319457
760,5,0.326666666666667,1,0,3000,12,0,0,"2",1,59,36000,220,0,3,5,5,3,6,1,2,2,2,5,0.4,5,1,0,0,1,0,0,0,0,253.84916943
550,5,0.3,1,0,1833.33333333333,15,0,0,"2",0,33,22000,0,0,4,7,7,3,7,1,1,2,1,4,0.25,2,0,0,0,1,1,0,1,1,234.13870289
490,5,0.207272727272727,0,0,2750,11,0,0,"2",1,27,33000,80,0,6,5,8,3,9,1,1,1,1,3,0.333333333333333,2,0,0,0,1,0,0,0,1,239.1328129
700,5,0.305454545454545,1,1,2750,10,0,1,"3",1,40,33000,140,0,3,3,3,3,3,3,1,1,5,6,0.833333333333333,-1,0,0,0,1,0,0,0,0,242.20248054
170,5,0.083265306122449,0,0,4083.33333333333,10,0,0,"2",1,27,49000,170,0,3,6,7,3,2,3,1,1,3,5,0.6,3,1,1,0,1,1,0,0,0,239.60900811
540,5,0.0519230769230769,0,0,12133.3333333333,10,0,0,"2",1,48,145600,90,0,3,7,7,3,6,1,1,1,2,3,0.666666666666667,3,0,0,0,-1,1,0,0,0,253.84916943
170,5,0.18,0,0,1833.33333333333,11,0,0,"2",1,38,22000,160,0,6,6,5,3,2,3,1,1,1,6,0.166666666666667,4,1,1,0,-1,0,0,0,0,239.1328129
800,5,0.348,1,0,2500,13,0,0,"2",0,37,30000,70,0,4,8,8,3,5,1,1,1,1,3,0.333333333333333,2,0,0,0,1,0,0,0,0,243.21717499
730,5,0.88,1,1,1000,10,0,0,"3",0,36,12000,150,0,4,-9,-9,3,7,1,1,1,1,5,0.2,3,0,-1,0,1,0,0,0,0,263.24455348
650,5,0.628877005347594,1,0,1558.33333333333,5,0,0,"2",1,67,18700,330,0,3,10,9,3,2,3,1,1,2,6,0.333333333333333,4,0,1,0,0,0,0,0,0,214.4867071
800,5,0.26,0,1,3500,15,0,0,"3",1,30,42000,110,0,3,10,10,3,2,3,1,1,2,6,0.333333333333333,-1,0,0,0,1,0,0,0,0,247.98351989
600,5,0.277241379310345,0,1,2416.66666666667,10,0,0,"3",0,38,29000,70,0,4,7,7,3,7,1,1,1,1,3,0.333333333333333,2,0,0,0,0,1,0,0,0,242.20248054
690,5,0.38,1,1,2000,10,0,0,"3",1,50,24000,70,0,6,8,10,3,6,1,1,1,1,5,0.2,2,0,0,0,-1,0,0,0,0,252.21905108
650,5,0.348,1,1,2500,13,0,0,"7",1,28,30000,220,0,3,5,7,3,2,3,2,2,4,7,0.571428571428571,-1,0,1,0,0,0,0,0,0,242.80456948
600,5,0.117272727272727,0,0,7333.33333333333,14,1,1,"2",0,31,88000,260,0,1,6,6,3,2,3,1,1,4,5,0.8,3,0,0,0,1,1,1,-1,1,222.60253918
530,5,0.227612903225806,0,0,2583.33333333333,11,1,0,"2",1,30,31000,58,0,6,9,9,3,6,1,1,1,1,4,0.25,2,1,0,0,1,0,0,0,0,217.52049389
